Melbourne,Demons,Fremantle,Dockers,R7,11.4.70,2.4.16, Full Time
Mar 18,2017,4.35,Casey,Fox Sports,,100640701,,0,,,,
#####

998156,Dana,Hooker,FR,13,72,0,33,52,78,16,5,1,4,0,1,2,0,0, Full Time,hot,%D with %k by foot... also %T,,,416400,0,407900,102,Forward,17,12,70.08,76.33,0.38,0.83,0.68,397000,108,,12,3,7,38,0
1005410,Lara,Filocamo,FR,15,71,0,61,50,72,9,5,3,7,0,0,1,0,0, Full Time,hot,%P and %M plus %T,,,416400,0,407900,102,Forward,4,12,70.08,76.33,0.38,0.83,0.68,397000,108,,6,0,3,43,0
1007141,Gemma,Houghton,FR,20,53,0,45,40,58,7,3,1,6,0,1,3,1,1, Full Time,news,%s from %O and %T... not helped by %F,,,416400,0,407900,102,Forward,27,12,70.08,76.33,0.38,0.83,0.68,397000,108,,7,2,5,40,0
1007013,Amy,Lavell,FR,8,50,0,29,41,52,9,2,6,0,0,0,0,0,1, Full Time,news,Booted %s from %G and %P,,,416400,0,407900,102,Forward,7,12,70.08,76.33,0.38,0.83,0.68,397000,108,,7,1,0,54,0
1007144,Gabby,O'Sullivan,FR,14,49,0,54,34,48,3,5,2,6,0,0,0,0,0, Full Time,news,%P and %M plus %T,,,416400,0,407900,102,Forward,22,12,70.08,76.33,0.38,0.83,0.68,397000,108,,6,0,0,50,0
997691,Brooke,Whyte,FR,5,49,0,30,36,48,9,1,4,2,0,0,0,0,0, Full Time,news,%P with %k by foot... also %M and %T,,,416400,0,407900,102,Forward,38,12,70.08,76.33,0.38,0.83,0.68,397000,108,,4,0,2,30,0
1001682,Ebony,Antonio,FR,10,48,0,35,39,51,7,2,4,2,0,0,1,1,0, Full Time,news,%s from %D and %M with %T,,,416400,0,407900,102,Forward,12,12,70.08,76.33,0.38,0.83,0.68,397000,108,,3,0,4,44,0
1005433,Taylah,Angel,FR,13,45,0,39,27,36,6,0,0,6,0,3,0,0,0, Full Time,news,%P including %B... also %T... umps paid him %4FF,,,416400,0,407900,102,Forward,9,12,70.08,76.33,0.38,0.83,0.68,397000,108,,5,3,1,50,0
1006997,Stephanie,Cain,FR,8,39,0,28,30,45,7,2,2,4,0,1,3,0,0, Full Time,news,%P including %K... also %T and %M... not helped by %F,,,416400,0,407900,102,Forward,20,12,70.08,76.33,0.38,0.83,0.68,397000,108,,6,1,5,56,0
1005409,Cassie,Davidson,FR,3,38,0,32,29,39,5,2,3,3,0,1,1,0,0, Full Time,news,%P including %K... also %M and %T,,,416400,0,407900,102,Forward,33,12,70.08,76.33,0.38,0.83,0.68,397000,108,,1,0,2,71,0
1007029,Belinda,Smith,FR,2,31,0,26,26,36,3,6,2,1,0,0,0,0,0, Full Time,news,%P and %M,,,416400,0,407900,102,Forward,18,12,70.08,76.33,0.38,0.83,0.68,397000,108,,6,0,0,78,0
998040,Hayley,Miller,FR,2,29,0,12,20,30,7,1,0,2,0,1,1,0,0, Full Time,news,%O with %k by foot... also %T,,,416400,0,407900,102,Forward,19,12,70.08,76.33,0.38,0.83,0.68,397000,108,,4,0,2,75,0
1005411,Tarnica,Golisano,FR,3,25,0,24,20,30,3,2,2,3,0,0,2,0,0, Full Time,news,%D and %M with %T,,,416400,0,407900,102,Forward,11,12,70.08,76.33,0.38,0.83,0.68,397000,108,,2,0,3,40,0
1004406,Alicia,Janz,FR,2,24,0,27,19,26,1,2,0,3,8,0,1,0,0, Full Time,news,%D and %T,,,416400,0,407900,102,Forward,30,12,70.08,76.33,0.38,0.83,0.68,397000,108,,3,0,3,67,0
1005430,Akec Makur,Chuot,FR,1,24,0,18,16,24,4,0,0,3,3,0,1,0,0, Full Time,news,%O and %T,,,416400,0,407900,102,Forward,14,12,70.08,76.33,0.38,0.83,0.68,397000,108,,1,1,1,50,0
1007000,Kelly,Clinch,FR,7,22,0,24,16,27,2,3,0,4,0,0,2,0,0, Full Time,news,%D and %T,,,416400,0,407900,102,Forward,25,12,70.08,76.33,0.38,0.83,0.68,397000,108,,3,0,3,40,0
998042,Kirby,Bentley,FR,1,20,0,12,19,27,3,5,1,0,0,1,1,0,0, Full Time,news,%O,,,416400,0,407900,102,Forward,23,12,70.08,76.33,0.38,0.83,0.68,397000,108,,7,1,2,62,0
998161,Kira,Phillips,FR,1,18,0,11,14,21,4,0,1,2,0,1,2,0,0, Full Time,news,%O and %T,,,416400,0,407900,102,Forward,13,12,70.08,76.33,0.38,0.83,0.68,397000,108,,1,1,2,25,0
1006995,Stacey,Barr,FR,1,16,0,5,16,25,4,3,1,0,0,0,2,0,1, Full Time,news,%s from %O,,,416400,0,407900,102,Forward,10,12,70.08,76.33,0.38,0.83,0.68,397000,108,,5,0,4,14,0
1005425,Demi,Okely,FR,1,9,0,15,5,9,0,0,0,3,0,0,1,0,0, Full Time,news,%T,,,416400,0,407900,102,Forward,16,12,70.08,76.33,0.38,0.83,0.68,397000,108,,1,0,1,0,0
1005416,Ashley,Sharp,FR,0,3,0,0,2,3,1,0,0,0,0,0,0,0,0, Full Time,,,,,416400,0,407900,102,Forward,1,12,70.08,76.33,0.38,0.83,0.68,397000,108,,1,1,0,100,0
1005429,Tayla,Bresland,FR,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Full Time,,,,,416400,0,407900,102,Forward,5,12,70.08,76.33,0.38,0.83,0.68,397000,108,,0,0,0,100,0
