Brisbane,Lions,St Kilda,Saints,W3,0.0.0,0.0.0, Full Time
Mar 6,2016,4.40,Mackay,Foxtel,,10450118,,0,,,,
#####

240708,Sam,Fisher,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,410000,,428100,,Back ,25,0,0,0,0.00,0.00,0.00,391000,,,0,0,0,0,0
250134,Sam,Gilbert,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,439500,,434600,,Back ,19,0,0,0,0.00,0.00,0.00,420000,,,0,0,0,0,0
250340,David,Armitage,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,620300,,591800,,Midfielder ,20,0,0,0,0.00,0.00,0.00,592000,,,0,0,0,0,0
260113,Jarryn,Geary,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,428400,,421400,,Back ,14,0,0,0,0.00,0.00,0.00,409000,,,0,0,0,0,0
270912,Jack,Steven,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,647400,,562700,,Midfielder ,3,0,0,0,0.00,0.00,0.00,618000,,,0,0,0,0,0
280858,Shane,Savage,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,402000,,398000,,Midfielder ,5,0,0,0,0.00,0.00,0.00,384000,,,0,0,0,0,0
280933,Dylan,Roberton,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,480300,,488900,,Back ,17,0,0,0,0.00,0.00,0.00,459000,,,0,0,0,0,0
281024,Maverick,Weller,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,434500,,386400,,Midfielder ,44,0,0,0,0.00,0.00,0.00,415000,,,0,0,0,0,0
290422,Tom,Lee,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,128200,,123900,,Forward ,9,0,0,0,0.00,0.00,0.00,125000,,,0,0,0,0,0
290757,Jimmy,Webster,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,345400,,352300,,Back ,29,0,0,0,0.00,0.00,0.00,330000,,,0,0,0,0,0
291492,Josh,Bruce,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,393700,,368400,,Forward ,27,0,0,0,0.00,0.00,0.00,376000,,,0,0,0,0,0
291518,Tom,Curren,SK,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0, Full Time,,,,,190100,,192100,,Midfielder ,26,0,0,0,0.00,0.00,0.00,172000,,,0,0,0,0,0
