Brisbane,Lions,Geelong,Cats,R22,0.0.0,1.1.7, Q1 5:40
Aug 21,2016,3.20,Gabba,,,10462208,,0,Sunny,23,,
#####
<em style='color:#000'>poido123</em>: nv thanks mont<br><em style='color:#000'>poido123</em>: wheres the scores?<br><em style='color:#000;margin-bottom:-2px'><b class="ticon tAD"></b> Umpirespet</em>: Keep it close plz Lions<br><em style='color:#000;margin-bottom:-2px'><b class="ticon tCO"></b> Lawls</em>: need zorko to go huge<br>
280990,Steven,Motlop,GE,6,13,0,12,10,12,1,0,0,1,0,0,0,1,0, Q1 5:40,hot,Kicked %s,,,430800,0,397700,94,Midfielder,32,18,81.28,83.95,4.50,7.11,4.47,410000,80,,1,0,0,100,100
261510,Tom,Hawkins,GE,0,11,0,6,9,12,2,1,1,0,0,0,0,0,0, Q1 5:40,news,%D,,,341400,0,424600,62,Forward,26,17,73.53,82.16,1.37,1.80,2.38,351000,59,,1,0,0,66,100
270917,Patrick,Dangerfield,GE,0,11,0,10,8,12,1,2,0,1,0,0,0,0,0, Q1 5:40,news,%O,,,660800,0,619700,185,Midfielder,35,18,120.83,130.65,62.47,67.04,58.45,599000,152,,3,2,1,66,100
281065,Mitch,Duncan,GE,0,11,0,6,9,12,2,1,1,0,0,0,0,0,0, Q1 5:40,news,%P,,,508200,0,440300,125,Midfielder,22,18,95.83,92.15,6.73,2.88,6.20,468000,116,,0,0,0,66,100
200035,Corey,Enright,GE,0,9,0,4,7,9,2,0,1,0,0,0,0,0,0, Q1 5:40,news,%O,,,482700,0,556900,96,Back,44,17,87.94,101.47,4.12,5.42,4.21,480000,81,,0,0,0,100,100
270326,Lachie,Henderson,GE,1,9,0,8,8,9,1,0,2,0,0,0,0,0,0, Q1 5:40,,,,,354500,0,390500,41,Forward,25,15,66.4,78.41,0.27,0.51,0.52,348000,59,,0,0,0,100,100
290550,Cameron,Guthrie,GE,0,6,0,8,4,6,0,1,0,1,0,0,0,0,0, Q1 5:40,,,,,372200,0,400800,33,Midfielder,29,17,77.47,86.16,0.58,0.88,3.39,391000,51,,0,0,0,100,100
296439,Darcy,Lang,GE,0,5,0,2,4,6,1,1,0,0,0,0,0,0,0, Q1 5:40,news,%P,,,277500,0,257000,87,Forward,11,12,61.67,58.42,0.34,0.49,0.24,284000,105,,0,0,0,50,100
280722,Zac,Smith,GE,0,4,0,4,4,5,0,1,0,0,2,0,0,0,0, Q1 5:40,news,%H,,,397900,0,408500,131,Ruck,9,17,69.59,79.32,3.58,5.03,6.52,352000,94,,1,1,0,100,100
296733,Mark,Blicavs,GE,0,3,0,-3,3,6,2,0,0,0,0,0,1,0,0, Q1 5:40,news,%D,,,420900,0,406800,93,Ruck,46,18,87.22,89.55,14.76,15.42,18.34,403000,83,,1,1,1,0,100
230248,Andrew,Mackie,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,446600,0,364000,74,Back,4,17,76.06,69.33,1.00,1.07,1.14,405000,103,,1,0,0,100,100
250321,Joel,Selwood,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,558100,0,518100,133,Midfielder,14,18,102.28,110.65,13.00,21.17,9.24,502000,116,,0,0,0,100,100
261497,Harry,Taylor,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,305700,0,355900,18,Back,7,18,60.5,74.25,1.08,2.76,1.75,307000,52,,0,0,0,100,100
270928,Scott,Selwood,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,341000,0,310300,49,Midfielder,16,0,0,72,0.36,0.83,1.15,328000,48,,0,0,0,100,100
293581,Lincoln,McCarthy,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,249600,0,242700,46,Forward,6,14,48.86,52.4,11.33,5.32,7.38,244000,36,,1,0,0,100,100
296291,Jake,Kolodjashnij,GE,0,2,0,2,2,3,0,1,0,0,0,0,0,0,0, Q1 5:40,,,,,316000,0,304800,85,Back,8,15,52.73,55.19,0.58,0.67,0.60,289000,60,,0,0,0,0,100
230125,Tom,Lonergan,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,264800,0,305100,80,Back,13,16,48.56,55.67,0.48,0.73,0.71,244000,54,,0,0,0,0,100
280317,Rhys,Stanley,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,351100,0,368300,87,Ruck,1,15,63.87,71.35,1.30,1.78,2.95,343000,63,,0,0,0,0,100
290106,Josh,Cowan,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,203000,0,249700,6,Midfielder,18,3,61,64,1.71,1.68,5.70,252000,11,,0,0,0,0,0
291473,Tom,Ruggles,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,357700,0,336600,58,Back,36,14,64.14,65.73,14.42,10.94,9.67,336000,69,,0,0,0,0,0
291949,Shane,Kersten,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,288700,0,283300,54,Forward,39,15,63.27,63.38,0.33,0.38,0.63,278000,62,,0,0,0,0,0
294199,Sam,Menegola,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Q1 5:40,,,,,121300,0,262200,-22,Forward,27,2,91,89.75,8.52,10.03,18.25,287000,6,,0,0,0,0,0
