Hawthorn,Hawks,Fremantle,Dockers,PF,11.11.77,8.14.62, Full Time
Sep 27,2013,2.40,MCG,Seven,,10402701,haw-v-fre,0,Fine,22,,


280416,Chris,Mayne,FR,16,68,66,69,56,72,4,9,5,4,0,1,0,1,0, Full Time,,,,,0,120,0,123,Forward,23,21,86.6,92,6.63,4.17
281007,Michael,Walters,FR,12,64,77,56,52,66,6,5,4,3,0,0,0,2,0, Full Time,,,,,0,59,0,61,Forward,10,18,82.1,88.9,2.88,1.43
200045,Luke,McPharlin,FR,12,62,55,42,53,69,9,7,7,0,0,0,0,0,0, Full Time,,,,,0,109,0,93,Back,18,13,76.5,73.8,0.98,0.64
260069,Hayden,Ballantyne,FR,4,58,49,41,46,59,8,6,3,2,0,3,0,0,2, Full Time,,,,,0,50,0,55,Forward,1,18,71.4,72.6,1.31,1.20
270908,Nick,Suban,FR,9,57,64,53,44,58,5,7,3,4,0,2,0,0,1, Full Time,,,,,0,148,0,156,Back,8,19,67.8,73,3.55,4.30
240266,Lee,Spurr,FR,10,54,63,42,40,54,8,2,4,4,0,1,1,0,0, Full Time,,,,,0,94,0,88,Back,34,20,71,72.4,0.88,0.73
271015,Matthew,de Boer,FR,8,53,65,53,46,66,3,13,3,3,0,0,1,0,0, Full Time,,,,,0,75,0,92,Forward Centre,9,22,76.6,75.5,1.91,1.43
280336,Stephen,Hill,FR,7,50,76,20,42,64,10,11,0,0,0,0,1,0,1, Full Time,,,,,0,56,0,79,Centre,32,16,70.5,85.9,1.82,0.92
230048,Ryan,Crowley,FR,7,44,34,28,40,54,6,9,2,0,1,2,1,0,2, Full Time,,,,,0,19,0,35,Centre,15,22,58.7,58.4,1.50,1.61
290251,Zachary,Clarke,FR,3,31,37,35,26,35,1,4,1,3,8,0,1,0,0, Full Time,,,,,0,44,0,52,Ruck,30,14,84.9,96.3,4.30,2.49
290733,Cameron,Sutcliffe,FR,1,27,35,11,19,27,6,2,0,1,0,1,0,0,0, Full Time,,,,,0,-1,0,-17,Centre,33,16,47.5,47.6,0.60,0.40
293535,Lachie,Neale,FR,2,26,27,13,21,27,5,2,2,0,0,1,0,0,0, Full Time,,,,,0,103,0,104,Centre,27,9,77.1,86.9,1.05,0.61
240552,Zac,Dawson,FR,3,19,29,26,23,36,0,7,3,2,0,0,4,0,0, Full Time,,,,,0,35,0,67,Back,3,21,34,46.5,3.35,1.80
